;I;Q;I_hex;Q_hex
969;-0.003807544708251953;0.0011920332908630371;00ff0677;00004e1f
970;-0.003819584846496582;0.0011931657791137695;00ff05ad;00004e32
971;-0.0037999749183654785;0.001196742057800293;00ff06f6;00004e6e
972;-0.003795027732849121;0.0011965036392211914;00ff0749;00004e6a
973;-0.003805875778198242;0.001195073127746582;00ff0693;00004e52
974;-0.0038042068481445312;0.0011936426162719727;00ff06af;00004e3a
975;-0.0037943124771118164;0.0011924505233764648;00ff0755;00004e26
976;-0.0037999749183654785;0.0011917948722839355;00ff06f6;00004e1b
977;-0.0037978291511535645;0.0012043118476867676;00ff071a;00004eed
978;-0.003798544406890869;0.0012069344520568848;00ff070e;00004f19
979;-0.0038004517555236816;0.0011922717094421387;00ff06ee;00004e23
980;-0.003803551197052002;0.0011780261993408203;00ff06ba;00004d34
981;-0.0038094520568847656;0.0011953115463256836;00ff0657;00004e56
982;-0.0038141608238220215;0.0011948347091674805;00ff0608;00004e4e
983;-0.0037983059883117676;0.0011917948722839355;00ff0712;00004e1b
984;-0.0038042068481445312;0.0011872649192810059;00ff06af;00004dcf
985;-0.0038236379623413086;0.0011870265007019043;00ff0569;00004dcb
986;-0.003812253475189209;0.0011901259422302246;00ff0628;00004dff
987;-0.0038073062896728516;0.0011766552925109863;00ff067b;00004d1d
988;-0.0038063526153564453;0.001187741756439209;00ff068b;00004dd7
989;-0.003813445568084717;0.0011957883834838867;00ff0614;00004e5e
990;-0.003810882568359375;0.001202404499053955;00ff063f;00004ecd
991;-0.003802359104156494;0.0011993646621704102;00ff06ce;00004e9a
992;-0.003802359104156494;0.0011936426162719727;00ff06ce;00004e3a
993;-0.0038141608238220215;0.0011981725692749023;00ff0608;00004e86
994;-0.0038158297538757324;0.0011910796165466309;00ff05ec;00004e0f
995;-0.003801405429840088;0.001185595989227295;00ff06de;00004db3
996;-0.0037893056869506836;0.0011908411979675293;00ff07a9;00004e0b
997;-0.003825545310974121;0.0011938810348510742;00ff0549;00004e3e
998;-0.0038158297538757324;0.00118941068649292;00ff05ec;00004df3
999;-0.0038115382194519043;0.0011957883834838867;00ff0634;00004e5e
1000;-0.003804445266723633;0.0011851191520690918;00ff06ab;00004dab
1001;-0.0038205385208129883;0.00118941068649292;00ff059d;00004df3
1002;-0.0038210153579711914;0.0011851191520690918;00ff0595;00004dab
1003;-0.0038039684295654297;0.0011832714080810547;00ff06b3;00004d8c
1004;-0.00382077693939209;0.0011716485023498535;00ff0599;00004cc9
1005;-0.0038236379623413086;0.001175224781036377;00ff0569;00004d05
1006;-0.003813445568084717;0.0011771321296691895;00ff0614;00004d25
1007;-0.003805875778198242;0.001171886920928955;00ff0693;00004ccd
1008;-0.0038214921951293945;0.0011676549911499023;00ff058d;00004c86
1009;-0.003809213638305664;0.001166701316833496;00ff065b;00004c76
1010;-0.0038167834281921387;0.0011569857597351074;00ff05dc;00004bd3
1011;-0.003817737102508545;0.0011638402938842773;00ff05cc;00004c46
1012;-0.003814876079559326;0.0011621713638305664;00ff05fc;00004c2a
1013;-0.003817260265350342;0.001166224479675293;00ff05d4;00004c6e
1014;-0.0038198232650756836;0.0011633634567260742;00ff05a9;00004c3e
1015;-0.0038129687309265137;0.001157224178314209;00ff061c;00004bd7
1016;-0.003819108009338379;0.0011522769927978516;00ff05b5;00004b84
1017;-0.003814399242401123;0.0011626482009887695;00ff0604;00004c32
1018;-0.0038068294525146484;0.0011598467826843262;00ff0683;00004c03
1019;-0.003814399242401123;0.0011548399925231934;00ff0604;00004baf
1020;-0.0038205385208129883;0.0011577010154724121;00ff059d;00004bdf
1021;-0.003814876079559326;0.001157224178314209;00ff05fc;00004bd7
1022;-0.0038167834281921387;0.0011425614356994629;00ff05dc;00004ae1
1023;-0.0038226842880249023;0.0011749863624572754;00ff0579;00004d01
1024;-0.0038101673126220703;0.0011716485023498535;00ff064b;00004cc9
1025;-0.003812253475189209;0.0011466145515441895;00ff0628;00004b25
1026;-0.0038214921951293945;0.0011525154113769531;00ff058d;00004b88
1027;-0.003813445568084717;0.0011584162712097168;00ff0614;00004beb
1028;-0.0038179755210876465;0.0011463761329650879;00ff05c8;00004b21
1029;-0.003816545009613037;0.0011491775512695312;00ff05e0;00004b50
1030;-0.0038326382637023926;0.0011501312255859375;00ff04d2;00004b60
1031;-0.0038170218467712402;0.0011557936668395996;00ff05d8;00004bbf
1032;-0.00380706787109375;0.0011546015739440918;00ff067f;00004bab
1033;-0.003803074359893799;0.0011569857597351074;00ff06c2;00004bd3
1034;-0.0038203001022338867;0.001157224178314209;00ff05a1;00004bd7
1035;-0.003835439682006836;0.0011586546897888184;00ff04a3;00004bef
1036;-0.0038266777992248535;0.001162409782409668;00ff0536;00004c2e
1037;-0.0038214921951293945;0.0011518001556396484;00ff058d;00004b7c
1038;-0.0038203001022338867;0.001149892807006836;00ff05a1;00004b5c
1039;-0.003820061683654785;0.0011513233184814453;00ff05a5;00004b74
1040;-0.0038146376609802246;0.0011510848999023438;00ff0600;00004b70
1041;-0.003821253776550293;0.0011527538299560547;00ff0591;00004b8c
1042;-0.003834068775177002;0.0011600852012634277;00ff04ba;00004c07
1043;-0.003817737102508545;0.0011657476425170898;00ff05cc;00004c66
1044;-0.003817260265350342;0.0011581778526306152;00ff05d4;00004be7
1045;-0.003813445568084717;0.0011674165725708008;00ff0614;00004c82
1046;-0.003818690776824951;0.0011664628982543945;00ff05bc;00004c72
1047;-0.0038163065910339355;0.0011657476425170898;00ff05e4;00004c66
1048;-0.0038115382194519043;0.0011548399925231934;00ff0634;00004baf
1049;-0.0038099288940429688;0.001155555248260498;00ff064f;00004bbb
1050;-0.003813445568084717;0.001166701316833496;00ff0614;00004c76
1051;-0.0038198232650756836;0.0011686086654663086;00ff05a9;00004c96
1052;-0.0038170218467712402;0.001154184341430664;00ff05d8;00004ba4
1053;-0.00381392240524292;0.001154184341430664;00ff060c;00004ba4
1054;-0.003811359405517578;0.001155555248260498;00ff0637;00004bbb
1055;-0.0038141608238220215;0.0011626482009887695;00ff0608;00004c32
1056;-0.0038214921951293945;0.00115889310836792;00ff058d;00004bf3
1057;-0.0038141608238220215;0.0011534690856933594;00ff0608;00004b98
1058;-0.0038170218467712402;0.0011557936668395996;00ff05d8;00004bbf
1059;-0.0038352012634277344;0.0011466145515441895;00ff04a7;00004b25
1060;-0.003817260265350342;0.001137852668762207;00ff05d4;00004a92
1061;-0.0038219690322875977;0.0011390447616577148;00ff0585;00004aa6
